conditions,match,deviationAway,gabor,corrAns,trials
90,1.0,0.0,90.0,up,756
135,0.0,6.0,141.0,right,757
45,0.0,2.0,47.0,right,758
45,0.0,2.0,47.0,right,759
135,0.0,-6.0,129.0,left,760
0,0.0,-2.0,-2.0,left,761
135,1.0,0.0,135.0,up,762
45,0.0,-4.0,41.0,left,763
0,0.0,-6.0,-6.0,left,764
0,0.0,6.0,6.0,right,765
135,0.0,6.0,141.0,right,766
90,0.0,-4.0,86.0,left,767
90,1.0,0.0,90.0,up,768
90,0.0,4.0,94.0,right,769
45,1.0,0.0,45.0,up,770
0,0.0,-10.0,-10.0,left,771
90,0.0,-6.0,84.0,left,772
45,0.0,-8.0,37.0,left,773
90,0.0,-4.0,86.0,left,774
135,0.0,4.0,139.0,right,775
135,0.0,-8.0,127.0,left,776
45,0.0,-2.0,43.0,left,777
135,0.0,-10.0,125.0,left,778
135,0.0,-10.0,125.0,left,779
90,0.0,-4.0,86.0,left,780
90,0.0,6.0,96.0,right,781
135,0.0,10.0,145.0,right,782
135,0.0,-10.0,125.0,left,783
90,0.0,-2.0,88.0,left,784
0,0.0,10.0,10.0,right,785
0,0.0,4.0,4.0,right,786
135,0.0,-4.0,131.0,left,787
45,0.0,10.0,55.0,right,788
135,0.0,4.0,139.0,right,789
45,1.0,0.0,45.0,up,790
135,0.0,4.0,139.0,right,791
0,0.0,-4.0,-4.0,left,792
135,1.0,0.0,135.0,up,793
135,0.0,8.0,143.0,right,794
90,0.0,6.0,96.0,right,795
135,0.0,-8.0,127.0,left,796
0,0.0,-2.0,-2.0,left,797
135,1.0,0.0,135.0,up,798
135,0.0,10.0,145.0,right,799
135,0.0,8.0,143.0,right,800
